iter	Passed	Remaining
0	166	16498
1	195	9594
2	223	7239
3	252	6059
4	283	5390
5	315	4945
6	345	4585
7	376	4325
8	400	4053
9	432	3896
10	458	3707
11	491	3606
12	525	3517
13	553	3398
14	579	3285
15	609	3199
16	637	3113
17	668	3046
18	700	2985
19	725	2900
20	758	2854
21	787	2793
22	815	2729
23	848	2686
24	876	2630
25	904	2574
26	935	2528
27	961	2471
28	990	2424
29	1020	2380
30	1050	2338
31	1076	2288
32	1100	2235
33	1129	2193
34	1156	2148
35	1183	2103
36	1213	2066
37	1240	2023
38	1271	1988
39	1302	1954
40	1335	1921
41	1367	1888
42	1397	1852
43	1423	1812
44	1454	1778
45	1483	1741
46	1509	1701
47	1543	1671
48	1573	1637
49	1600	1600
50	1626	1563
51	1656	1529
52	1682	1491
53	1720	1465
54	1749	1431
55	1776	1395
56	1802	1359
57	1825	1321
58	1853	1287
59	1874	1249
60	1901	1215
61	1928	1181
62	1961	1152
63	1988	1118
64	2014	1084
65	2043	1052
66	2066	1017
67	2089	983
68	2114	950
69	2139	917
70	2165	884
71	2189	851
72	2214	818
73	2239	786
74	2266	755
75	2293	724
76	2319	692
77	2346	661
78	2372	630
79	2401	600
80	2427	569
81	2453	538
82	2481	508
83	2506	477
84	2532	446
85	2555	415
86	2578	385
87	2605	355
88	2632	325
89	2656	295
90	2682	265
91	2705	235
92	2730	205
93	2755	175
94	2781	146
95	2807	116
96	2835	87
97	2862	58
98	2888	29
99	2918	0
